Filme;codec;tamanho;;
/media/DISC02/OsMeusFilmes/A Cinderella Story (2004)/A Nova Cinderela.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/A Grande Família - O Filme (2007)/A Grande Familia O Filme.avi;mpeg4;697M;;
/media/DISC02/OsMeusFilmes/A Lot Like Love (2005)/De repente e Amor Dual PtBr Eng Brazilinjapan by hidecool.avi;mpeg4;704M;;
/media/DISC02/OsMeusFilmes/A Mighty Heart (2007)/A.Mighty.Heart[2007[DvDrip[Eng]-aXXo.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/A Prairie Home Companion (2006)/A última Noite.(Meryl Streep).2007.[lançamento].DUBLADO-PT-BR.XviD.(by Sergio).avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/A Serious Man (2010)/A.Serious.Man.2009.LIMITED.DVDRip.XviD-ESPiSE-CD1.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/A Serious Man (2010)/A.Serious.Man.2009.LIMITED.DVDRip.XviD-ESPiSE-CD2.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/A Walk to Remember (2002)/A Walk to Remember - Um amor para recordar (legendado).avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Accepted (2006)/Filme - Comédia 2006 - Aprovados - Dublado.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Aces `N` Eights (2008)/Aces and Eights.avi;mpeg4;697M;;
/media/DISC02/OsMeusFilmes/Adaptation. (2003)/Adaptacão - dublado 2007.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Adrift (2009)/A.Deriva.DVDRip.XviD.AC3.avi;mpeg4;1,4G;;
/media/DISC02/OsMeusFilmes/Æon Flux (2005)/Aeon Flux.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/All the Pretty Horses (2000)/Espirito Selvagem - Dublado.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Alone in the Dark (2005)/Alone.In.The.Dark[2005]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Along Came a Spider (2001)/Along Came a Spider.avi;msmpeg4;591M;;
/media/DISC02/OsMeusFilmes/Amélie (2001)/O Fabuloso Destino De Amelie Poulain.avi;mpeg4;738M;;
/media/DISC02/OsMeusFilmes/American Gangster (2007)/Gangster Americano 2007-Legendado.avi;mpeg4;713M;;
/media/DISC02/OsMeusFilmes/An Inconvenient Truth (2006)/Uma Verdade Inconveniente Dublado Brasil Pt Documentario Planeta Terra Aquecimen.avi;mpeg4;504M;;
/media/DISC02/OsMeusFilmes/An Unfinished Life (2005)/Filmes - Um Lugar Para Recomeçar Dublado 2006 Dvdrip Xvid Audio Mp3 By Ratolino.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Anaconda (1997)/Anaconda tt0118615.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Anamorph (2008)/Anamorph.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Another Gay Movie (2007)/Another.Gay.Movie.Legendado.Pt.Brasil(Filme Comédia Gay).mpg;mpeg1video;936M;;
/media/DISC02/OsMeusFilmes/Antonia (2007)/Antonia.O.Filme.2006.DVDRip.XviD-pedr1nho.[ShareBrasil].avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Apocalypto (2007)/Apocalypto (2006) [tt0472043].avi;mpeg4;901M;;
/media/DISC02/OsMeusFilmes/Aquamarine (2006)/Aquamarine.2006.DVDRip.XviD-DiAMOND.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Are We Done Yet (2007)/Uma.Casa.De.Pernas.Pro.Ar.DUBLADO.2007.DVDRip.XviD.Dual.Audio.Mp3.By.Ratolino.avi;mpeg4;824M;;
/media/DISC02/OsMeusFilmes/Armageddon (1998)/Armageddon (1998) [tt0120591].avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Arthur and the Invisibles (2006)/Arthur.And.The.Invisibles[2006]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Ask the Dust (2006)/Ask.the.Dust.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Asterix at the Olympic Games (2008)/Asterix Aux Jeux Olympiques.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Atonement (2008)/Desejo e Reparação (Atonement) 2007.DvDRip.Eng-FxM Legendado by Web4Fun.avi;mpeg4;573M;;
/media/DISC02/OsMeusFilmes/Awake (2008)/Awake.2007.DvDRip.AC3 5 1-FxM.avi;mpeg4;802M;;
/media/DISC02/OsMeusFilmes/Babel (2006)/Babel (2006) [tt0449467] CD1.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Babel (2006)/Babel (2006) [tt0449467] CD2.avi;mpeg4;695M;;
/media/DISC02/OsMeusFilmes/Bad Blood The Hatfields and McCoys (2012)/Bad Blood The Hatfields And McCoys.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Battlestar Galactica Razor (2007)/Battlestar Galactica Razor (2007) [tt0991178].avi;mpeg4;971M;;
/media/DISC02/OsMeusFilmes/Because I Said So (2007)/Because.I.Said.So[2007]DvDrip[Eng]-aXXo.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Bee Movie (2007)/bee movie KLAXXON.avi;mpeg4;822M;;
/media/DISC02/OsMeusFilmes/Behind Enemy Lines II Axis of Evil (2006)/Behind Enemy Lines II Axis of Evil (2006) [tt0497329].avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Big Momma`s House 2 (2006)/Big.Momma's.House.2[2006]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Black Cat, White Cat (1998)/Crna Macka, Beli Macor (Black Cat, White Cat) 1998 Emir Kusturica [Honeyko].avi;mpeg4;1,1G;;
/media/DISC02/OsMeusFilmes/Blades of Glory (2007)/Blades.Of.Glory[2007]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Bless the Child (2001)/Bless.the.Child.2000.DVDRip.XviD-THS.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Blood and Chocolate (2007)/Blood.&.Chocolate[2007]DvDrip[Eng]-aXXo.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/BloodMonkey (2008)/BloodMonkey.2007.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)/Borat.avi;mpeg4;1,2G;;
/media/DISC02/OsMeusFilmes/Bordertown (2007)/Bordertown (2006) [tt0445935].avi;mpeg4;854M;;
/media/DISC02/OsMeusFilmes/Bratz (2007)/Bratz_O Filme, 2007- (DVDSCR.DviX6.MP3) - Legendado BR - by CO2.avi;mpeg4;685M;;
/media/DISC02/OsMeusFilmes/Breaking the Girls (2013)/Breaking.The.Girls.2012.DVDRip.XviD-EXViD.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Burning Man (2011)/Burning Man cd1__WWW.OXE7.COM.avi;mpeg4;699M;;
/media/DISC02/OsMeusFilmes/Burning Man (2011)/Burning Man cd2__WWW.OXE7.COM.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Ca$h (2010)/Cash.2010.DVDRip.XviD-M00DY.avi;mpeg4;1,5G;;
/media/DISC02/OsMeusFilmes/Cão Sem Dono (2007)/Cao.Sem.Dono.2007.DVDRip.XviD-pedr1nho.[DivXForever].avi;mpeg4;697M;;
/media/DISC02/OsMeusFilmes/Carriers (2009)/Pandemia.2009.DVDRip.XviD.AC3-EVO.avi;mpeg4;1,1G;;
/media/DISC02/OsMeusFilmes/Casino Royale (2006)/Casino Royale (2006) [tt0381061].avi;mpeg4;795M;;
/media/DISC02/OsMeusFilmes/Catwoman (2004)/alliance-catwoman.dvdrip.xvid.avi;mpeg4;696M;;
/media/DISC02/OsMeusFilmes/Charlie and the Chocolate Factory (2005)/Charlie And The Chocolate Factory.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Charlotte Gray (2002)/charlotte gray.avi;mpeg4;679M;;
/media/DISC02/OsMeusFilmes/Cheaper by the Dozen 2 (2005)/Cheaper.By.The.Dozen.2[2005]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Cherry Crush (2007)/Cherry.Crush[2007]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Chick Thing (2005)/coisa.de.mulher.(2005).dublado.comedia.cinema nacional dvdrip.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Chicken Run (2000)/Chicken Run.avi;msmpeg4;602M;;
/media/DISC02/OsMeusFilmes/Christmas in Boston (2005)/Mensagem Instantanea Dual PtBr Eng Brazilinjapan by hidecool.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Christmas with the Kranks (2004)/Um natal muito, muito louco - Filme-Comedia - Legendado.avi;mpeg4;786M;;
/media/DISC02/OsMeusFilmes/Cinema, Aspirins and Vultures (2006)/Cinema.Aspirinas.e.Urubus.DVDRip.XviD-pedr1nho.[DivXForever].avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Click (2006)/Click[2006]DvDrip[Eng]-aXXo-Legendado-PT-BR.avi;mpeg4;694M;;
/media/DISC02/OsMeusFilmes/Code Name The Cleaner (2007)/Code Name The Cleaner (2007) [tt0462229].avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Come As You Are (2011)/Hasta la Vista__WWW.OXE7.COM.avi;mpeg4;704M;;
/media/DISC02/OsMeusFilmes/COMPLEXO Parallel universe (2011)/Complexo Universo Paralelo__WWW.OXE7.COM.avi;mpeg4;697M;;
/media/DISC02/OsMeusFilmes/Conversations with God (2007)/Conversando.Com.DEUS.2007.DUBLADO.DVDRip.XviD.Audio.Mp3.By.Ratolino.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Copper Mountain (1983)/Loucuras.Na.Neve.[Traci.Loards].DUBLADO.2007.DVDRip.XviD.Audio.MP3.Marcio.Jipa.qualidade.By.Ratolino.avi;mpeg4;706M;;
/media/DISC02/OsMeusFilmes/Corpse Bride (2005)/A.Noiva.Cadaver.DVDRip.XviD.by.joao_gui.rmvb;rv40;252M;;
/media/DISC02/OsMeusFilmes/Corrupção (2007)/Corrupcao.PORTUGUESE.DVDRip.XViD-EVO.[tugashare.net].avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Dark Ride (2006)/Dark.Ride[2006]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Dark Water (2005)/filmes Agua.Negra.DUBLADO.2005.DVDRip.Xvid.By.Ratolino.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Dead Fish (2006)/Dead Fish (2004) [tt0379240].avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Deadly Skies (2007)/FORÇA DE IMPACTO (Force Of Impact).LANAMENTO 2007.DUBLADO PT-BR.XviD.Qualidade by Sergio.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Deep Sea (2006)/IMAX.Deep.Sea.3D.2006.DVDRiP.AC3.5.1.Xvid-CANDiRU.avi;mpeg4;694M;;
/media/DISC02/OsMeusFilmes/Deepwater (2005)/Deepwater[2005]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Defiance (2009)/Defiance CD 1.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Defiance (2009)/Defiance CD 2.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Definitely, Maybe (2008)/Definitely.Maybe.DVDRip.XviD-aXXo.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Deja Vu (2006)/Deja Vu (2006) [tt0453467].rmvb;rv40;419M;;
/media/DISC02/OsMeusFilmes/Delicacy (2012)/La delicatesse__WWW.OXE7.COM.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Derailed (2006)/Fora.De.Rumo.DUBLADO.2006.DVDRip.XviD.Audio.Mp3.By.Ratolino.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Deuce Bigalow European Gigolo (2005)/Deuce Bigalow European gigolo KLAXXON.avi;mpeg4;722M;;
/media/DISC02/OsMeusFilmes/Diamond Dogs (2009)/Diamond Dogs (2007) [tt0858433].avi;mpeg4;748M;;
/media/DISC02/OsMeusFilmes/Dirty (2005)/Dirty[2005]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/DNA (1997)/DNA (1997) [tt0118912].avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Doom (2005)/Doom (2005) [tt0419706].avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Double zéro (2004)/Agentes.000.Xvid.DvdRip.dublado.by.Tetsudau.[ShareBrasil].avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Dreamer Inspired by a True Story (2006)/Sonhadora (Dreamer) Lançamento 2007 Dublado Pt-Br Xvid Qualidade By Sergio.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Dreamgirls (2007)/imbt-dreamgirls-cd1.avi;mpeg4;696M;;
/media/DISC02/OsMeusFilmes/Dreamgirls (2007)/imbt-dreamgirls-cd2.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Dungeons & Dragons (2000)/CD1.mpg;mpeg2video;785M;;
/media/DISC02/OsMeusFilmes/Dungeons & Dragons (2000)/CD2.mpg;mpeg2video;785M;;
/media/DISC02/OsMeusFilmes/Easy A (2010)/Easy A__WWW.OXE7.COM.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Eccentricities of a Blonde-haired Girl (2009)/Singularidades.de.Uma.Rapariga.Loura.2009.PORTUGUESE.DVDRip.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Eclipse (2010)/The.Twilight.Saga.Eclipse.2010.DVDSCR.XviD-PrisM.avi;mpeg4;1,5G;;
/media/DISC02/OsMeusFilmes/Eight Below (2006)/- Resgate Abaixo Zero Dublado 2006 Dvdrip Xvid Mp3 By Ratolino.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/El Cortez (2007)/El.Cortez.2006.LiMiTED.DVDRip.XviD-NEPTUNE.avi;mpeg4;698M;;
/media/DISC02/OsMeusFilmes/Elite Squad (2008)/Tropa de Elite CD1.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Elite Squad (2008)/Tropa de Elite CD2.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Enchanted (2007)/Enchanted 2008 DVDRip.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/End of the Spear (2006)/TERRA SELVAGEM (End of the Spear).Lançamento 2007.DUBLADO PT-BR.XviD.Qualidade by Sergio.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Epic Movie (2007)/Epic.Movie[2007][Unrated.Edition]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Everest (1998)/IMAX.Everest.Xvid.AC3.avi;mpeg4;746M;;
/media/DISC02/OsMeusFilmes/Failure to Launch (2006)/Failure To Launch Armações Do Amor Ano2006 Dvdrip Dublado By Justiceiro.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Fantastic 4 Rise of the Silver Surfer (2007)/Fantastic.Four-Rise.Of.The.Silver.Surfer[2007]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Filhas do Vento (2005)/Filhas.Do.Vento.Dvd5rip.Xvid.jotasjp.[ShareBrasil].avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Final Destination 3 (2006)/Final.Destination.3[2006]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Firewall (2006)/X Firewall (DUBLADO)2006.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/First Blood (1983)/First Blood (1982) [tt0083944].avi;mpeg4;795M;;
/media/DISC02/OsMeusFilmes/First Born (2007)/First.Born[2007]DvDrip[Eng]-aXXo.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Five Children and It (2004)/Five.Children.and.It.DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Floripes (2005)/Floripes.PORTUGUESE.WORKPRINT.XViD-EVO.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Flyboys (2006)/Flyboys - CD1.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Flyboys (2006)/Flyboys - CD2.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/For Love and Gold (1966)/[Filme] O Incrível Exército de Brancaleone - Dublado(Portugues).avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/For the Love of Money (2012)/For the Love of Money__WWW.OXE7.COM.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Foster (2012)/Foster__WWWW.OXE7.COM.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Freedom Writers (2007)/Freedom.Writers[2007]DvDrip[Eng]-aXXo.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Fur An Imaginary Portrait of Diane Arbus (2007)/A.Pele.DUBLADO.2007.DVDRip.XviD.Dual.Audio.Mp3.By.Ratolino.avi;mpeg4;1,1G;;
/media/DISC02/OsMeusFilmes/Gamera the Brave (2006)/Gamera.A Guardia do Universo Dual PtBr Eng Brazilinjapan by hidecool.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Get Rich or Die Tryin` (2005)/Fique.Rico.ou.Morra.Tentando.Dublado.Novembro.2006.DVDRip.XviD.By.ratos.de.locadora.[cdmsshare].avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Ghost Ship (2003)/Filmes Navio Fantasma (Dublado) Xvid.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Glass House The Good Mother (2006)/Filme - A Casa De Vidro 2 Dvdrip Xvid Dublado-Articulador.avi;mpeg4;704M;;
/media/DISC02/OsMeusFilmes/Glory Road (2006)/Estrada.para.Glória.2006.DVDRip.XviD.Dual.AC3.[share4ever.org].by.Vitorempada.avi;mpeg4;1,5G;;
/media/DISC02/OsMeusFilmes/Gone (2007)/Gone[2006]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Gospel of Deceit (2006)/Pecados.da.Fe.Dual.PtBr.Eng.DVDRip.XVID.Mp3.Brazilinjapan.by.hidecool.avi;mpeg4;1,4G;;
/media/DISC02/OsMeusFilmes/Gridiron Gang (2006)/dmt-gridiron-cd1.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Gridiron Gang (2006)/dmt-gridiron-cd2.avi;mpeg4;697M;;
/media/DISC02/OsMeusFilmes/Grilled (2006)/Grilled[2006]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Ground Control (1998)/Ground Control (1998) [tt0137799].avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Gunfight at the O.K. Corral (1957)/Duelo.De.Titanes [DVDRip.Xvid.AC3.Spanish].avi;mpeg4;1,2G;;
/media/DISC02/OsMeusFilmes/Hairspray (2007)/Hairspray.2007.DVDRip.XviD.Legendado.By.KaNaByS.WMV;wmv2;1,1G;;
/media/DISC02/OsMeusFilmes/Halloween (2007)/Halloween, 2007 - (WP.XviD.MP3) - Legendado BR - by CO2.avi;mpeg4;685M;;
/media/DISC02/OsMeusFilmes/Hannibal Rising (2007)/HANNIBAL_RISING_DISC_1.avi;mpeg4;699M;;
/media/DISC02/OsMeusFilmes/Hannibal Rising (2007)/HANNIBAL_RISING_DISC_2.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Hard Candy (2006)/[emulinha.info].Menina.Ma.Com.DUBLADO.2006.DVDRip.XviD.Dual.Audio.[PT.ENG].Mp3.By.Ratolino.avi;mpeg4;882M;;
/media/DISC02/OsMeusFilmes/Harry Potter and the Deathly Hallows Part 2 (2011)/Harry Potter and the Deathly Hallows Part 2.avi;mpeg4;1,5G;;
/media/DISC02/OsMeusFilmes/Headspace (2005)/Headspace[2005]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Heat (1996)/Heat (1995) [tt0113277].avi;mpeg4;1,1G;;
/media/DISC02/OsMeusFilmes/Heavenly Creatures (1994)/Almas Gemeas 2007 Dual PtBr Eng Brazilinjapan by hidecool.CD01.avi;mpeg4;1,1G;;
/media/DISC02/OsMeusFilmes/Herbie Fully Loaded (2005)/Herbie - Fully Loaded.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Hereafter (2011)/Hereafter cd1__WWW.OXE7.COM.avi;mpeg4;699M;;
/media/DISC02/OsMeusFilmes/Hereafter (2011)/Hereafter cd2__WWW.OXE7.COM.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Hooking Up (2009)/Hooking Up__WWW.DOWN7.NET.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Hot Fuzz (2007)/Arma Fatal - dublado 2008.avi;mpeg4;804M;;
/media/DISC02/OsMeusFilmes/Hot Tub Time Machine (2010)/Hot.Tub.Time.Machine.(2010).R5.DvDRip.XviD-MAXSPEED.avi;mpeg4;1,4G;;
/media/DISC02/OsMeusFilmes/I Could Never Be Your Woman (2007)/Nunca é Tarde Para Amar, 2007 - (Dvdrip Xvid Mp3) - Legendado Br - By Co2.avi;mpeg4;603M;;
/media/DISC02/OsMeusFilmes/I Now Pronounce You Chuck & Larry (2007)/Eu os Declaro Marido e... Larry! - (TS.XviD.MP3) - Legendado BR - by CO2.avi;mpeg4;729M;;
/media/DISC02/OsMeusFilmes/I Want Candy (2007)/sph-candy.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/If Only (2004)/If.Only.2004.DVDRip.XviD.AC3.2CH-JJH.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Infamous (2006)/Confidencial.DUBLADO.2007.DVDRip.XviD.Audio.Mp3.By.Ratolino.[ShareBrasil].avi;mpeg4;795M;;
/media/DISC02/OsMeusFilmes/Intern Academy (2004)/Os.Estagiários.DUBLADO.2006.DVDRip.XviD.Audio.Mp3.By.Ratolino.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Isidoro, la película (2007)/Isidoro.la.Pelicula.2007.DVD-RIP.XVID.MP3.CLAN-SUD.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Isolation (2006)/Quarentena.Dual.PtBr.Eng.DVDRip.XVID.Mp3.Brazilinjapan.by.hidecool.avi;mpeg4;1,6G;;
/media/DISC02/OsMeusFilmes/Jaime (1999)/Jaime.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Jesse Stone Stone Cold (2005)/Crimes.no.Paraiso.2005.dual.ptbr.eng.DvdRip.mp3.Xvid.Brazilinjapan.by.cinefila.[ShareBrasil].avi;mpeg4;1,2G;;
/media/DISC02/OsMeusFilmes/John Tucker Must Die (2006)/Filme - Comédia 2006 - Todas Contra John - Dublado.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Joyeux Noel (2005)/Feliz.Natal.Dvdrip.Xvid.Galo[Pipoca.&.Cia].[ShareBrasil].avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Jump In! (2008)/[eMulinha.info].Jump In! (Dublado).DvdRip.Xvid_robertjp.[ShareBrasil].[ShareBrasil].avi;mpeg4;1,4G;;
/media/DISC02/OsMeusFilmes/Just Like Heaven (2005)/Just Like Heaven KLAXXON.avi;mpeg4;823M;;
/media/DISC02/OsMeusFilmes/Just My Luck (2006)/Sorte.no.Amor.Dublado.2006.DVDRip.XviD.By.ratos.de.locadora.-.[cdmsshare].avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Keep Your Distance (2005)/O.Poder.Da.Traição.DVDRip.XviD.Dual.Audio.Mp3.By.Ratolino.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Kinky Sex Club (2004)/Bastidores.da.Seducao.Dublado.PtBr.DVDRip.XVID.Mp3.Brazilinjapan.by.hidecool.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Knocked Up (2007)/Knocked.Up[2007][Unrated.Edition]DvDrip[Eng]-aXXo.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Knowing (2009)/Knowing CD1.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Knowing (2009)/Knowing CD2.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/La Vie en Rose (2007)/La Vie en Rose[2007]DvDrip[French]-FXG.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Last Holiday (2006)/As Ferias Da Minha Vida Dublado(2006) - Comedia.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Left Behind World at War (2005)/Left Behind World at War (2005) [tt0443567].avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Legendary (2010)/Legendary.2010.LiMiTED.BDRip.XviD-AVCDVD.CD1.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Legendary (2010)/Legendary.2010.LiMiTED.BDRip.XviD-AVCDVD.CD2.avi;mpeg4;698M;;
/media/DISC02/OsMeusFilmes/Letters to Juliet (2010)/letters.to.juliet-xvid.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Liar Liar (1997)/O.Mentiroso.DvdRip.dublado.pt.br.by.Tetsudau.[ShareBrasil].avi;mpeg4;750M;;
/media/DISC02/OsMeusFilmes/License to Wed (2007)/License.To.Wed[2007]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Like Crazy (2012)/Like Crazy.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Little Man (2006)/O.Pequenino.DUBLADO.2007.DVDRip.XviD.Audio.Mp3.By.Ratolino.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Living Death (2006)/Renascido do Inferno Dual PtBr Eng Brazilinjapan by hidecool.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Lucky 7 (2003)/Filme - As 7 Regras Do Amor (Dublado) - 2007.avi;mpeg4;782M;;
/media/DISC02/OsMeusFilmes/Magicians (2007)/Magicians[2007]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Marley & Me (2009)/Marley.And.Me.DVDRip.XviD-ARiGOLD.CD1.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Marley & Me (2009)/Marley.And.Me.DVDRip.XviD-ARiGOLD.CD2.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Messages Deleted (2009)/Messages Deleted__WWW.DOWN7.NET.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Meu Tio Matou um Cara (2004)/O meu tio matou um cara.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Minotaur (2006)/FILME - MINOTAURO - MINOTAUR (2006) DUBLADO PORTUGUES.avi;mpeg4;705M;;
/media/DISC02/OsMeusFilmes/Miracle at St. Anna (2009)/Miracle at St.Anna.avi;mpeg4;903M;;
/media/DISC02/OsMeusFilmes/Monster House (2006)/Monster.House[2006]DvDrip.AC3.[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Moon (2009)/Moon.BRRip.XviD.AC3-DEViSE.avi;mpeg4;1,5G;;
